names,url,image,description
Genghis Khan,https://en.wikipedia.org/wiki/Genghis_Khan,https://en.wikipedia.org/wiki/File:YuanEmperorAlbumGenghisPortrait.jpg,"Reign : Spring 1206 – 25 August 1227, Successor : Tolui (as regent)Ögedei Khan, Born : Temüjinc. 1162Khentii Mountains, Khamag Mongol, Died : (1227-08-25)25 August 1227[1]Xingqing, Western Xia, Burial : Unknown (see Burial place of Genghis Khan), Spouse : 
Börte
Khulan Khatun
Yesugen Khatun
Yesulun Khatun
Ibaqa Khatun
Möge Khatun
, Issue : 
Jochi
Chagatai
Ögedei
Alakhai Bekhi
Tolui
others
, Names : NamesMongol script: ᠴᠢᠩᠭᠢᠰ ᠬᠠᠭᠠᠨ Chinggis Khagansee #Name and titlePosthumous nameEmperor Fatian Qiyun Shengwu (法天啟運聖武皇帝)Temple nameTaizu (太祖), Dynasty : Borjigin, Father : Yesügei, Mother : Hoelun, Religion : Tengrism, "
Mansa Musa,https://en.wikipedia.org/wiki/Mansa_Musa,https://en.wikipedia.org/wiki/File:Catalan_Atlas_BNF_Sheet_6_Mansa_Musa_(cropped).jpg,"Reign : c.1312– c.1337 (c. 25 years), Predecessor : Muhammad[2], Successor : Magha, Born : 13th centuryMali Empire, Died : c. 1337Mali Empire, Spouse : Inari Kunate, House : Keita dynasty, Religion : Islam, "
Joan of Arc,https://en.wikipedia.org/wiki/Joan_of_Arc,https://en.wikipedia.org/wiki/File:Joan_of_Arc_miniature_graded.jpg,"Born : c. 1412Domrémy, Duchy of Bar, Kingdom of France, Died : 30 May 1431 (aged c. 19)Rouen, Normandy (then under English rule), Venerated in : Roman Catholic ChurchAnglican Communion[2], Beatified : 18 April 1909 by Pope Pius X, Canonized : 16 May 1920 by Pope Benedict XV, Feast : 30 May, Patronage : France, "
Suleiman the Magnificent,https://en.wikipedia.org/wiki/Suleiman_the_Magnificent,https://en.wikipedia.org/wiki/File:EmperorSuleiman.jpg,"Reign : 30 September 1520 – 6 September 1566, Sword girding : 30 September 1520, Predecessor : Selim I, Successor : Selim II, Born : 6 November 1494[2]: 541 Trabzon, Ottoman Empire, Died : 6 September 1566(1566-09-06) (aged 71)[2]: 545 Szigetvár, Kingdom of Hungary, Habsburg monarchy, Burial : Organs buried at Turbék, Szigetvár, HungaryBody buried at Süleymaniye Mosque, Istanbul, Turkey, Spouse : 

Hürrem Sultan (Roxelana)
​ ​(m. 1533; died 1558)​
 legal wifeMahidevran Hatun (1514; sep 1553) concubine, Issue : 
Şehzade Mahmud
Şehzade Mustafa
Raziye Sultan
Şehzade Murad
Şehzade Mehmed
Mihrimah Sultan
Selim II
Şehzade Abdullah
Şehzade Bayezid
Şehzade Cihangir
, Names : NamesSüleyman Şah bin Selim Şah Han[3], Dynasty : Ottoman, Father : Selim I, Mother : Hafsa Sultan, Religion : Sunni Islam, Tughra : , "
Akbar,https://en.wikipedia.org/wiki/Akbar,"https://en.wikipedia.org/wiki/File:Govardhan._Akbar_With_Lion_and_Calf_ca._1630,_Metmuseum_(cropped).jpg","Reign : 11 February 1556 – 27 October 1605[2][3], Coronation : 14 February 1556[2], Predecessor : Humayun, Successor : Jahangir, Regent : Bairam Khan (1556–1560)[4], Born : Jalal-ud-din Muhammad Akbar15 October 1542[a]Amarkot, Rajputana (present-day Umerkot, Sindh, Pakistan), Died : 27 October 1605(1605-10-27) (aged 63)Fatehpur Sikri, Agra, Mughal Empire (present-day Uttar Pradesh, India), Burial : November 1605Akbar's Tomb, Sikandra, Agra, Consorts : 
Ruqaiya Sultan Begum
​ ​(m. 1556)​[5]
Salima Sultan Begum ​(m. 1561)​
Mariam-uz-Zamani ​(m. 1562)​[6] [7][8], Wives : 
Raj Kunwari ​(m. 1570)​
Nathi Bai ​(m. 1570)​
Bhakkari Begum ​(m. 1572)​
Qasima Banu Begum ​(m. 1575)​Gauhar-un-Nissa BegumBibi Daulat ShadRukmavatiseveral others, IssueDetail : Hassan MirzaHussain MirzaJahangirShahzada KhanamMurad MirzaShakr-un-Nissa BegumDaniyal MirzaAram Banu Begum, Names : NamesAbu'l-Fath Jalal-ud-din Muhammad Akbar[9]Posthumous nameArsh-Ashyani (lit. 'One who nests on the divine throne'), House : House of Babur, Dynasty : Timurid dynasty, Father : Humayun, Mother : Hamida Banu Begum, Religion : Sunni Islam[10][11]  Din-e-Illahi, "
Elizabeth I,https://en.wikipedia.org/wiki/Elizabeth_I,https://en.wikipedia.org/wiki/File:Darnley_stage_3.jpg,"Reign : 17 November 1558 – 24 March 1603, Coronation : 15 January 1559, Predecessor : Mary I, Successor : James I, Born : 7 September 1533Palace of Placentia, Greenwich, England, Died : 24 March 1603 (aged 69)Richmond Palace, Surrey, England, Burial : 28 April 1603Westminster Abbey, House : Tudor, Father : Henry VIII, Mother : Anne Boleyn, Religion : Protestant, Signature : , "
Catherine the Great,https://en.wikipedia.org/wiki/Catherine_the_Great,https://en.wikipedia.org/wiki/File:Portrait_of_Empress_Catherine_II_(cropped)(b).jpg,"Reign : 9 July 1762 – 17 November 1796, Coronation : 9 July 1762, Predecessor : Peter III, Successor : Paul I, Tenure : 22 September 1745 - 17 November 1796, Born : Princess Sophie of Anhalt-Zerbst2 May [O.S. 21 April] 1729Stettin, Pomerania, Prussia, Holy Roman Empire(now Szczecin, Poland), Died : 17 November [O.S. 6 November] 1796 (aged 67)Winter Palace, Saint Petersburg, Russian Empire, Burial : Saints Peter and Paul Cathedral, Saint Petersburg, Spouse : 
Peter III of Russia
​ ​(m. 1745; died 1762)​, Issueamong others... : 
Paul I
Grand Duchess Anna Petrovna
Alexei, Count Bobrinsky
, Names : NamesGerman: Sophie Friederike AugusteRussian: Екатерина Алексеевна Романова, romanized: Yekaterina Alekseyevna RomanovaEnglish: Catherine Alexeievna Romanova, House : 
Holstein-Gottorp-Romanov (by marriage)
Ascania (by birth)
, Father : Christian August, Prince of Anhalt-Zerbst, Mother : Joanna Elisabeth of Holstein-Gottorp, Religion : 
Russian Orthodox (1744–1796)
prev. Lutheran (1729–1744)
, Signature : , "
George Washington,https://en.wikipedia.org/wiki/George_Washington,https://en.wikipedia.org/wiki/File:Gilbert_Stuart_Williamstown_Portrait_of_George_Washington.jpg,"Vice President : John Adams, Preceded by : Office established, Succeeded by : John Adams, President : John Adams, Preceded by : James Wilkinson, Succeeded by : Alexander Hamilton, Appointed by : Continental Congress, Preceded by : Office established, Succeeded by : Henry Knox (as Senior Officer), President : James Madison, Preceded by : Richard Terrick (1776), Succeeded by : John Tyler (1859), Preceded by : Office established, Succeeded by : Thomas Jefferson, Preceded by : Hugh West[6][7], Succeeded by : Office abolished, Constituency : 
Frederick County (1758–1765)
Fairfax County (1765–1775)[5]
, Born : February 22, 1732 [O.S. February 11, 1731]Popes Creek, Virginia Colony, British America, Died : December 14, 1799(1799-12-14) (aged 67)Mount Vernon, Virginia, U.S., Resting place : Mount Vernon, Virginia38°42′28.4″N 77°05′09.9″W﻿ / ﻿38.707889°N 77.086083°W﻿ / 38.707889; -77.086083, Political party : Independent, Spouse : 
Martha Dandridge ​(m. 1759)​, Parents : 
Augustine Washington
Mary Ball Washington
, Relatives : Washington family, Occupation : Plantermilitary officerstatesmansurveyor, Awards : 
Congressional Gold Medal
Thanks of Congress[8]
, Signature : , Allegiance : 
Great Britain
United States
, Branch/service : 
Virginia Militia
Continental Army
United States Army
, Years of service : 
1752–1758 (Virginia Militia)
1775–1783 (Continental Army)
1798–1799 (U.S. Army)
, Rank : 
Colonel (1st Virginia Regiment)
Colonel (Virginia Militia)
General and Commander in Chief (Continental Army)
Lieutenant General (U.S. Army)
General of the Armies (promoted posthumously in 1976 by Congress)
, Commands : 
Virginia Regiment
Continental Army
United States Army
, Battles/wars : 
French and Indian War
Battle of Jumonville Glen
Battle of Fort Necessity
Braddock Expedition
Battle of the Monongahela
Forbes Expedition
American Revolutionary War
Boston campaign
New York and New Jersey campaign
Philadelphia campaign
Yorktown campaign
Northwest Indian War
Whiskey Rebellion
, "
Napoleon,https://en.wikipedia.org/wiki/Napoleon,https://en.wikipedia.org/wiki/File:Jacques-Louis_David_-_The_Emperor_Napoleon_in_His_Study_at_the_Tuileries_-_Google_Art_Project.jpg,"1st reign : 18 May 1804 – 6 April 1814, Coronation : 2 December 1804Notre-Dame Cathedral, Predecessor : Louis XVII (disputed) or Louis XVI (as King of France), Successor : Louis XVIII (as King of France), 2nd reign : 20 March 1815 – 22 June 1815, Predecessor : Louis XVIII, Successor : Napoleon II (disputed) or Louis XVIII, Reign : 17 March 1805 – 11 April 1814, Coronation : 26 May 1805Milan Cathedral, Predecessor : Charles V (1558), Successor : Victor Emmanuel II (1861), Reign : 11 April 1814 – 20 March 1815, Reign : 6 May – 6 June 1808, Predecessor : Ferdinand VII, Successor : Joseph I, Co-Consuls : 
Jean-Jacques-Régis de Cambacérès
Charles-François Lebrun
, Co-Consuls : 
Emmanuel Joseph Sieyès
Roger Ducos
, Vice President : Francesco Melzi d'Eril, Prince-Primates : 
Karl von Dalberg
Eugène de Beauharnais
, Born : Napoleone Buonaparte[1](1769-08-15)15 August 1769Ajaccio, Corsica, Kingdom of France, Died : 5 May 1821(1821-05-05) (aged 51)Longwood, Saint Helena, Burial : 15 December 1840Les Invalides, Paris, France, Spouses : 

Joséphine de Beauharnais
​ ​(m. 1796; ann. 1810)​

Marie Louise of Austria
​ ​(m. 1810; sep. 1814)​
, IssueDetail : 
Napoleon II
Charles, Count Léon
Alexandre, Count Colonna-Walewski
, Names : NamesNapoléon BonaparteRegnal nameNapoleon I, House : Bonaparte, Father : Carlo Buonaparte, Mother : Letizia Ramolino, Signature : , "
Simón Bolívar,https://en.wikipedia.org/wiki/Sim%C3%B3n_Bol%C3%ADvar,"https://en.wikipedia.org/wiki/File:Sim%C3%B3n_Bol%C3%ADvar._Toro_Moreno,_Jos%C3%A9._1922,_Legislative_Palace,_La_Paz.png","Preceded by : Estanislao Vergara y Sanz de Santamaría, Succeeded by : Domingo Caycedo, Preceded by : Office established, Succeeded by : Antonio José de Sucre, Born : (1783-07-24)24 July 1783Caracas, Captaincy General of Venezuela, Spanish Empire, Died : 17 December 1830(1830-12-17) (aged 47)Santa Marta, Gran Colombia(now Colombia), Cause of death : Tuberculosis, Resting place : National Pantheon of Venezuela, Nationality : Spanish (until 1810)Venezuelan (1813–1819)Colombian (1819–1830), Spouse : 
María Teresa Rodríguez del Toro y Alaysa
​ ​(m. 1802; died 1803)​, Domestic partner : Manuela Sáenz, Signature : , "
