names,url,image,description
Abraham Lincoln,https://en.wikipedia.org/wiki/Abraham_Lincoln,https://en.wikipedia.org/wiki/File:Abraham_Lincoln_O-77_matte_collodion_print.jpg,"Vice President : 
Hannibal Hamlin(1861–1865)
Andrew Johnson(March–April 1865)
, Preceded by : James Buchanan, Succeeded by : Andrew Johnson, Preceded by : John Henry, Succeeded by : Thomas L. Harris, Born : (1809-02-12)February 12, 1809Hodgenville, Kentucky, U.S., Died : April 15, 1865(1865-04-15) (aged 56)Washington, D.C., U.S., Manner of death : Assassination (gunshot wound to the head), Resting place : Lincoln Tomb, Political party : 
Republican (1856–1865)
Whig (before 1856)
, Other politicalaffiliations : National Union (1864–1865), Height : 6 ft 4 in (193 cm)[1], Spouse : 
Mary Todd ​(m. 1842)​, Children : RobertEdwardWillieTad, Parents : Thomas LincolnNancy Hanks, Relatives : Lincoln family, Occupation : Politicianlawyer, Signature : , Branch/service : Illinois Militia, Years of service : 1832, Rank : 
Captain[a]
Private[a]
, Battles/wars : 
American Indian Wars
Black Hawk War
Battle of Stillman's Run
Battle of Kellogg's Grove
, "
Mahatma Gandhi,https://en.wikipedia.org/wiki/Mahatma_Gandhi,"https://en.wikipedia.org/wiki/File:Mahatma-Gandhi,_studio,_1931.jpg","Born : Mohandas Karamchand Gandhi(1869-10-02)2 October 1869Porbandar, Porbandar State, Kathiawar Agency, British Raj, Died : 30 January 1948(1948-01-30) (aged 78)New Delhi, Dominion of India, Cause of death : Assassination (gunshot wounds), Monuments : Raj GhatGandhi Smriti, Citizenship : British Empire (1869–1947)Dominion of India (1947–1948), Alma mater : Alfred High School, Rajkot (1880 – November 1887)Samaldas Arts College, Bhavnagar (January 1888 – July 1888)Inner Temple, London (September 1888–1891)(Informal auditing student at University College London between 1888 and 1891), Occupations : Lawyeranti-colonialistpolitical ethicist, Years active : 1893–1948, Era : British Raj, Known for : Leadership of the campaign for India's independence from British ruleNonviolent resistance, Notable work : The Story of My Experiments with Truth, Political party : Indian National Congress (1920–1934)[1], Movement : Indian independence movement, Spouse : 
Kasturba Gandhi
​ ​(m. 1883; died 1944)​, Children : HarilalManilalRamdasDevdas, Parents : Karamchand Gandhi (father)Putlibai Gandhi (mother), Relatives : See Family of Mahatma GandhiC. Rajagopalachari (father-in-law of Gandhi's son Devdas), Awards : Time Person of the Year (1930)[2], Preceded by : Abul Kalam Azad, Succeeded by : Sarojini Naidu, Website : gandhi.gov.in, "
Joseph Stalin,https://en.wikipedia.org/wiki/Joseph_Stalin,https://en.wikipedia.org/wiki/File:Stalin_Full_Image.jpg,"Preceded by : Vyacheslav Molotov (as Responsible Secretary), Succeeded by : Georgy Malenkov (de facto)[b], Preceded by : Vyacheslav Molotov, Succeeded by : Himself (as Chairman of the Council of Ministers), President : 
Mikhail Kalinin
Nikolai Shvernik
, First deputies : 
Nikolai Voznesensky
Vyacheslav Molotov
Nikolai Bulganin
, Preceded by : Himself (as Chairman of the Council of People's Commissars), Succeeded by : Georgy Malenkov, Served alongside : 
11 others
Nikolai KutlerPavel MilyukovRodichevMaxim VinaverCherepanovEvdokimovMikhail KalininJózef UnszlichtGrigory ZinovievBoris KamkovShreider
, Preceded by : Constituency established, Succeeded by : Constituency abolished, Constituency : Petrograd Metropolis, Preceded by : Himself (as People's Commissar of Defense of the Soviet Union), Succeeded by : Nikolai Bulganin, Preceded by : Position established, Succeeded by : Position abolished, Preceded by : Semyon Timoshenko, Succeeded by : Himself (as People's Commissar of the Armed Forces of the Soviet Union), Born : Ioseb Besarionis dze Jughashvili[d]18 December [O.S. 6] 1878[e]Gori, Tiflis Governorate, Russian Empire (now Georgia), Died : 5 March 1953(1953-03-05) (aged 74)Moscow, Russian SFSR, Soviet Union, Resting place : 
Lenin's Mausoleum, Moscow (1953–1961)
Kremlin Wall Necropolis, Moscow (from 1961)
, Political party : 
RSDLP (1898–1903)
RSDLP (Bolsheviks) (1903–1918)
RCP (Bolsheviks) (1918–1925)
AUCP (Bolsheviks) (1925–1952)
CPSU (1952–1953)
, Spouses : 

Ekaterine Svanidze
​ ​(m. 1906; died 1907)​

Nadezhda Alliluyeva
​ ​(m. 1919; died 1932)​
, Children : 
Yakov Dzhugashvili
Vasily Stalin
Svetlana Alliluyeva
Artyom Sergeyev (adopted)
, Parents : 
Besarion Jughashvili
Ekaterine Geladze
, Education : Tbilisi Spiritual Seminary, Occupation : Politician, Signature : , Nickname : Koba, Allegiance : 
Russian Empire
Soviet Russia
Soviet Union
, Branch/service : 
Imperial Russian Army
Red Army
Soviet Armed Forces
, Years of service : 
1916–1917
1918–1921
1941–1953
, Rank : Marshal (1943)  Generalissimus (proposed), Commands : 
Southern Front (1918–1920) (commissar)
Southwestern Front (1920) (commissar)
Soviet Armed Forces (1941–1953) (Supreme Commander)
, Battles/wars : 
Russian Revolution
October Revolution
Russian Civil War
Battle of Tsaritsyn
Soviet-Georgian war
Polish–Soviet War
August uprising
Sino-Soviet War
Xinjiang Wars
Kumul Rebellion
Soviet invasion
Islamic Revolt
First Soviet-Japanese War
Winter War
World War II (Great Patriotic War)
Operation Barbarossa
Anglo-Soviet invasion of Iran
Battle of Moscow
Battle of Stalingrad
Continuation War
Berlin Offensive
Second Soviet-Japanese War
Iran Crisis
Xinjiang Wars
Ili Rebellion
Eastern European anti-Communist insurgencies
Korean War
, Awards : See list, "
Adolf Hitler,https://en.wikipedia.org/wiki/Adolf_Hitler,https://en.wikipedia.org/wiki/File:Hitler_portrait_crop.jpg,"Preceded by : Paul von Hindenburg (as President), Succeeded by : Karl Dönitz (as President), President : Paul von Hindenburg (1933–1934), Vice Chancellor : Franz von Papen (1933–1934), Preceded by : Kurt von Schleicher, Succeeded by : Joseph Goebbels, Deputy : Rudolf Hess (1933–1941), Preceded by : Anton Drexler (Party Chairman), Succeeded by : Martin Bormann (Party Minister), Preceded by : Walther von Brauchitsch, Succeeded by : Ferdinand Schörner, Preceded by : Franz von Papen (Reichskommissar), Succeeded by : Hermann Göring, Born : (1889-04-20)20 April 1889Braunau am Inn, Austria-Hungary (present-day Austria), Died : 30 April 1945(1945-04-30) (aged 56)Berlin, Nazi Germany, Cause of death : Suicide by gunshot, Citizenship : Austria (until 1925)Stateless (1925–1932)Germany (from 1932), Political party : Nazi (from 1921), Other politicalaffiliations : German Workers' Party (1919–1920), Spouse : 
Eva Braun ​(m. 1945)​, Parents : Alois HitlerKlara Pölzl, Cabinet : Hitler cabinet, Signature : , Allegiance : German EmpireWeimar Republic, Branch : 
Imperial German Army
Bavarian Army
Reichswehr
, Years of service : 1914–1920, Rank : Gefreiter, Unit : 16th Bavarian Reserve Regiment, Wars : 
World War I
Western Front
First Battle of Ypres
Battle of the Somme  (WIA)
Battle of Arras
Battle of Passchendaele
, Awards : Iron Cross First ClassIron Cross Second ClassWound Badge, "
Mao Zedong,https://en.wikipedia.org/wiki/Mao_Zedong,https://en.wikipedia.org/wiki/File:Mao_Zedong_in_1959_(cropped).jpg,"Deputy : Liu ShaoqiLin BiaoZhou EnlaiHua Guofeng, Preceded by : Zhang Wentian (as General Secretary), Succeeded by : Hua Guofeng, Premier : Zhou Enlai, Deputy : Zhu De, Succeeded by : Liu Shaoqi, Deputy : Zhu DeLin BiaoYe Jianying, Succeeded by : Hua Guofeng, Premier : Zhou Enlai, Born : (1893-12-26)26 December 1893Shaoshan, Hunan, China, Died : 9 September 1976(1976-09-09) (aged 82)Beijing, China, Resting place : Chairman Mao Memorial Hall, Beijing, Political party : Communist Party of China (1921–1976), Other politicalaffiliations : Kuomintang (1925–1926), Spouses : 
Luo Yixiu
​ ​(m. 1907; died 1910)​
Yang Kaihui
​ ​(m. 1920; died 1930)​
He Zizhen
​ ​(m. 1928; div. 1937)​
Jiang Qing ​(m. 1938)​, Children : 10, including:Mao AnyingMao AnqingMao AnlongYang YuehuaLi MinLi Na, Parents : Mao Yichang (father)Wen Qimei (mother), Alma mater : Hunan First Normal University, Signature : , Simplified Chinese : 毛泽东, Traditional Chinese : 毛澤東, Transcriptions : TranscriptionsStandard MandarinHanyu PinyinMáo ZédōngBopomofoㄇㄠˊ   ㄗㄜˊ   ㄉㄨㄥGwoyeu RomatzyhMau TzerdongWade–GilesMao² Tsê²-tung¹IPA[mǎʊ tsɤ̌.tʊ́ŋ] (listen)WuSuzhouneseMáu Zéh-tonHakkaRomanizationMô Chhe̍t-tûngYue: CantoneseYale RomanizationMòuh Jaahk-dūngJyutpingMou4 Zaak6-dung1IPA[mȍu tsàːk̚.tóŋ]Southern MinHokkien POJMô͘ Te̍k-tongTâi-lôMôo Ti̍k-tang, Hanyu Pinyin : Máo Zédōng, Bopomofo : ㄇㄠˊ   ㄗㄜˊ   ㄉㄨㄥ, Gwoyeu Romatzyh : Mau Tzerdong, Wade–Giles : Mao² Tsê²-tung¹, IPA : [mǎʊ tsɤ̌.tʊ́ŋ] (listen), Suzhounese : Máu Zéh-ton, Romanization : Mô Chhe̍t-tûng, Yale Romanization : Mòuh Jaahk-dūng, Jyutping : Mou4 Zaak6-dung1, IPA : [mȍu tsàːk̚.tóŋ], Hokkien POJ : Mô͘ Te̍k-tong, Tâi-lô : Môo Ti̍k-tang, Simplified Chinese : 润之, Traditional Chinese : 潤之, Transcriptions : TranscriptionsStandard MandarinHanyu PinyinRùnzhīWade–GilesJun4-chih1Yue: CantoneseJyutpingJeon6-zi1Southern MinHokkien POJLūn-chi, Hanyu Pinyin : Rùnzhī, Wade–Giles : Jun4-chih1, Jyutping : Jeon6-zi1, Hokkien POJ : Lūn-chi, "
Nelson Mandela,https://en.wikipedia.org/wiki/Nelson_Mandela,https://en.wikipedia.org/wiki/File:Nelson_Mandela_1994.jpg,"Deputy : 
Thabo Mbeki
F. W. de Klerk
, Preceded by : F. W. de Klerk (as State President), Succeeded by : Thabo Mbeki, Preceded by : Andrés Pastrana Arango, Succeeded by : Thabo Mbeki, Deputy : 
Walter Sisulu
Thabo Mbeki
, Preceded by : Oliver Tambo, Succeeded by : Thabo Mbeki, Preceded by : Oliver Tambo, Succeeded by : Walter Sisulu, Born : Rolihlahla Mandela(1918-07-18)18 July 1918Mvezo, Union of South Africa, Died : 5 December 2013(2013-12-05) (aged 95)Johannesburg, South Africa, Resting place : Mandela Graveyard, Qunu, Eastern Cape, Political party : African National Congress, Other politicalaffiliations : South African Communist Party, Spouses : 

Evelyn Ntoko Mase
​ ​(m. 1944; div. 1958)​

Winnie Madikizela
​ ​(m. 1958; div. 1996)​

Graça Machel ​(m. 1998)​
, Children : 7, including Makgatho, Makaziwe, Zenani, Zindziswa and Josina (step-daughter), Alma mater : 
University of Fort Hare
University of London
University of South Africa
University of the Witwatersrand
, Occupation : 
Activist
politician
philanthropist
lawyer
, Known for : Internal resistance to apartheid, Awards : 
Sakharov Prize (1988)
Bharat Ratna (1990)
Nishan-e-Pakistan (1992)
Nobel Peace Prize (1993)
Lenin Peace Prize (1990)
Presidential Medal of Freedom (2002)
(more...)
, Signature : , Website : Foundation, Nicknames : 
Madiba
Dalibunga
, Notable works : Long Walk to Freedom, "
Abraham,https://en.wikipedia.org/wiki/Abraham,https://en.wikipedia.org/wiki/File:Guercino_Abramo_ripudia_Agar_(cropped).jpg,"Title : Abraham, Born : Ur Kaśdim(present-day Basra, Iraq), Died : Hebron, Canaan(present-day West Bank), Spouse : SarahHagar (concubine from Egypt)Keturah (also concubine), Children : 
Oldest to youngest:
 Ishmael (son, with Hagar)
 Isaac (son, with Sarah)
 Zimran (son, with Keturah)
 Jokshan (son, with Keturah)
 Medan (son, with Keturah)
 Midian (son, with Keturah)
 Ishbak (son, with Keturah)
 Shuah (son, with Keturah)

, Parents : Terah (father)Amathlai, according to Talmud (mother), Known for : Namesake of the Abrahamic religions: traditional founder of the Jewish nation,[1][2] spiritual ancestor of Christians,[3] major Islamic prophet[4], Relatives : 
Closest to furthest:
 Haran (brother)
 Nahor (brother)
 Sarah (half-sister and wife)
 Jacob (grandson)
 Esau (grandson)
 Lot (nephew)
 Twelve Tribes of Israel (great-grandsons)
 Dinah (great-granddaughter)
    ... Abraham's family tree

, "
Moses,https://en.wikipedia.org/wiki/Moses,https://en.wikipedia.org/wiki/File:Guido_Reni_-_Moses_with_the_Tables_of_the_Law_-_WGA19289.jpg,"Born : Goshen, Lower Egypt, Ancient Egypt, Died : Mount Nebo, Moab, Transjordan, Nationality : EgyptianIsraelite, Spouse : Zipporah/Cushite woman [he][1], Children : 
Gershom
Eliezer
, Parents : 
Amram (father)
Jochebed (mother)
Pharaoh's daughter (adoptive mother)
, Known for : Prophet  Delivering the Ten Commandments to the Israelites, Relatives : 
Levi (great-grandfather)
Aaron (brother)
Miriam (sister)
, "
The Buddha,https://en.wikipedia.org/wiki/The_Buddha,https://en.wikipedia.org/wiki/File:Buddha_in_Sarnath_Museum_(Dhammajak_Mutra).jpg,"Born : Siddhartha Gautamac. 563 BCE or 480 BCELumbini, Shakya Republic (according to Buddhist tradition)[b], Died : c. 483 BCE or 400 BCE (aged 80)[1][2][3][c]Kushinagar, Malla republic (according to Buddhist tradition)[d], Resting place : Cremated; ashes divided among followers, Spouse : Yashodhara, Children : Rāhula, Parents : Śuddhodana (father)Maya Devi (mother), Known for : Founding Buddhism, Other names : Gautama Buddha  Shakyamuni (""Sage of the Shakyas""), Predecessor : Kassapa Buddha, Successor : Maitreya, Sanskrit : Siddhārtha Gautama, Pali : Siddhattha Gotama, "
Jesus,https://en.wikipedia.org/wiki/Jesus,https://en.wikipedia.org/wiki/File:Spas_vsederzhitel_sinay.jpg,"Born : c. 4 BC[a]Herodian Kingdom of Judea, Roman Empire[5], Died : AD 30 or 33 (aged 33–36)Jerusalem, Judaea, Roman Empire, Cause of death : Crucifixion[b], Known for : Central figure of Christianity, Parents : MaryJoseph[c], "
Paul the Apostle,https://en.wikipedia.org/wiki/Paul_the_Apostle,"https://en.wikipedia.org/wiki/File:Saint_Paul,_Rembrandt_van_Rijn_(and_Workshop%3F),_c._1657.jpg","Born : Saul of Tarsusc. 5 AD[1]Tarsus, Cilicia, Roman Empire (in present-day Turkey), Died : c. 64/65 AD[2][3]Rome, Italia, Roman Empire[2][4], Venerated in : All Christian denominations that venerate saints, Canonized : Pre-Congregation, Major shrine : Basilica of Saint Paul Outside the Walls, Rome, Italy, Feast : 
25 January – Feast of the Conversion of Saint Paul
10 February – Feast of Saint Paul's Shipwreck in Malta
29 June – Feast of Saints Peter and Paul (with Peter the Apostle)
30 June – Former solo feast day, still celebrated by some religious orders
18 November – Feast of the dedication of the basilicas of Saints Peter and Paul
Saturday before the sixth Sunday after Pentecost – Feast of the Twelve Apostles and Paul the thirteenth Apostle (Armenian Apostolic Church)[5]
, Attributes : Christian martyrdom, sword, book, Patronage : Missionaries, theologians, evangelists, and Gentile ChristiansTheology career, Education : School of Gamaliel[6], Occupation : Christian missionary, Notable work : Certain:Epistle to the RomansEpistle to the GalatiansFirst Epistle to the CorinthiansSecond Epistle to the CorinthiansFirst Epistle to the ThessaloniansEpistle to PhilemonEpistle to the PhilippiansDisputed:Second Epistle to the ThessaloniansEpistle to the ColossiansEpistle to the EphesiansFirst Epistle to TimothySecond Epistle to TimothyEpistle to Titus, Era : Apostolic Age, Language : Koine Greek, Tradition or movement : Pauline Christianity, Main interests : Torah, Christology, eschatology, soteriology, ecclesiology, Notable ideas : Pauline privilege, Law of Christ, Holy Spirit, unknown God, divinity of Jesus, thorn in the flesh, Pauline mysticism, biblical inspiration, supersessionism, non-circumcision, salvation, "
Muhammad,https://en.wikipedia.org/wiki/Muhammad,https://en.wikipedia.org/wiki/File:Dark_vignette_Al-Masjid_AL-Nabawi_Door800x600x300.jpg,"Born : c. 570 CE (53 BH)[1]Mecca, Hejaz, Arabia, Died : (632-06-08)8 June 632 (11 AH) (aged 61–62)Medina, Hejaz, Arabia, Resting place : Green Dome at al-Masjid an-Nabawi, Medina, Arabia24°28′03″N 39°36′41″E﻿ / ﻿24.46750°N 39.61139°E﻿ / 24.46750; 39.61139﻿ (Green Dome), Spouse : See Muhammad's wives, Children : See Muhammad's children, Parent(s) : Abdullah ibn Abd al-Muttalib (father)Amina bint Wahb (mother), Known for : Founding Islam, Other names : Rasūl Allāh (Messenger of God)(see Names and titles of Muhammad), Relatives : Family tree of Muhammad, Ahl al-Bayt  (""Family of the House""), Personal (Ism) : Muḥammad, Patronymic (Nasab) : Muḥammad ibn ʿAbd Allāh ibn ʿAbd al-Muṭṭālib ibn Hāshim ibn ʿAbd Manāf ibn Quṣayy ibn Kilāb, Teknonymic (Kunya) : ʾAbu al-Qāsim, Epithet (Laqab) : Khātam an-Nabiyyīn (Seal of the Prophets), "
Adi Shankara,https://en.wikipedia.org/wiki/Adi_Shankara,https://en.wikipedia.org/wiki/File:Raja_Ravi_Varma_-_Sankaracharya.jpg,"Born : Shankarac. 700 CE (disputed)[1]Kalady, Chera Kingdom (present-day Kochi in Kerala, India), Died : c. 750 CE (disputed)[1]Kedarnath, Gurjara-Pratihara Empire (present-day Uttarakhand, India), Religion : Hinduism, Known for : Expounded Advaita Vedanta, Philosophy : Advaita Vedanta, Guru : Govinda Bhagavatpada, Honors : Jagadguru, "
Martin Luther,https://en.wikipedia.org/wiki/Martin_Luther,"https://en.wikipedia.org/wiki/File:Lucas_Cranach_d.%C3%84._-_Martin_Luther,_1528_(Veste_Coburg).jpg","Born : 10 November 1483Eisleben, County of Mansfeld, Holy Roman Empire, Died : 18 February 1546(1546-02-18) (aged 62)Eisleben, County of Mansfeld, Holy Roman Empire, Education : University of ErfurtUniversity of Wittenberg, Occupations : PriestTheologianAuthorHymnwriter, Notable work : Ninety-five Theses (1517), Spouse : 
Katharina von Bora  ​(m. 1525)​, Children : Hans (Johannes)ElisabethMagdalenaMartinPaulMargarethe, Era : Renaissance, Tradition or movement : 
Reformation
Lutheranism
, Main interests : ProlegomenaSoteriology, Notable ideas : Law and GospelSola fideTheology of the CrossTwo kingdoms doctrine, "
Marco Polo,https://en.wikipedia.org/wiki/Marco_Polo,https://en.wikipedia.org/wiki/File:Marco_Polo_-_costume_tartare.jpg,"Born : 1254Venice, Republic of Venice, Died : 8 January 1324 (aged 69–70)Venice, Republic of Venice, Resting place : Church of San Lorenzo45°26′14″N 12°20′44″E﻿ / ﻿45.4373°N 12.3455°E﻿ / 45.4373; 12.3455, Occupation(s) : Merchant, explorer, writer, Known for : The Travels of Marco Polo, Spouse : 
Donata Badoer ​(m. 1300⁠–⁠1324)​, Children : 3, Parents : 
Niccolò Polo
Anna Defuseh
, "
Zheng He,https://en.wikipedia.org/wiki/Zheng_He,"https://en.wikipedia.org/wiki/File:2016_Malakka,_Stadhuys_(09).jpg","Born : Ma He1371[1]Kunming, Yunnan, Yuan (Prince of Liang), Died : 1433 (aged 61–62) or 1435 (aged 63–64), Other names : Ma He Ma Sanbao  Cheng Ho, Occupations : Admiral, diplomat, explorer, and palace eunuch, Era : Ming dynasty, "
Christopher Columbus,https://en.wikipedia.org/wiki/Christopher_Columbus,"https://en.wikipedia.org/wiki/File:Portrait_of_a_Man,_Said_to_be_Christopher_Columbus.jpg","Appointed by : Isabella I of Castile, Succeeded by : Francisco de Bobadilla, Born : Cristoforo ColomboBetween 25 August and 31 October 1451Genoa, Republic of Genoa, Died : (1506-05-20)20 May 1506 (aged 54)Valladolid, Castile, Resting place : Seville Cathedral, Seville, Spain, Spouse : 
Filipa Moniz Perestrelo
​ ​(m. 1479; died 1484)​, Domestic partner : Beatriz Enríquez de Arana, Children : DiegoFerdinand, Parents : Domenico Colombo (father)Susanna Fontanarossa (mother), Relatives : Bartholomew Columbus (brother), Occupation : Maritime explorer, Signature : , "
Vasco da Gama,https://en.wikipedia.org/wiki/Vasco_da_Gama,"https://en.wikipedia.org/wiki/File:Ignoto_portoghese,_ritratto_di_un_cavaliere_dell%27ordine_di_cristo,_1525-50_ca._02.jpg","Monarch : John III of Portugal, Preceded by : Duarte de Menezes, Succeeded by : Henrique de Menezes, Born : 1460 or 1469Sines, Alentejo, Kingdom of Portugal, Died : 24 December 1524(aged approximately 55–65)Cochin, Kingdom of Cochin, Resting place : Jerónimos Monastery, Lisbon, Portugal, Spouse : Catarina de Ataíde, Children : Francisco da Gama, 2nd Count of Vidigueira  Estêvão da Gama, Governor of India  Cristóvão da Gama, Captain of MalaccaAmong others, Parents : Estêvão da Gama (father)Isabel Sodré (mother), Occupation : Explorer, Viceroy of India, Signature : , "
Ferdinand Magellan,https://en.wikipedia.org/wiki/Ferdinand_Magellan,https://en.wikipedia.org/wiki/File:Ferdinand_Magellan.jpg,"Born : Fernão de Magalhães(1480-02-04)4 February 1480Sabrosa, Kingdom of Portugal, Died : 27 April 1521(1521-04-27) (aged 41)Chiefdom of Mactan(now Cebu, Philippines), Nationality : Portuguese (renounced in 1517)[1][2], Known for : 
The Magellan expedition
Finding the Strait of Magellan
First European Pacific Ocean crossing
, "
James Cook,https://en.wikipedia.org/wiki/James_Cook,https://en.wikipedia.org/wiki/File:Captainjamescookportrait.jpg,"Born : 7 November [O.S. 27 October] 1728Marton, Yorkshire, Died : 14 February 1779(1779-02-14) (aged 50)Kealakekua Bay, Nationality : British, Education : Postgate School, Great Ayton, Occupation(s) : Explorer, cartographer and naval officer, Spouse : 
Elizabeth Batts ​(m. 1762)​, Children : 6, Branch :  Royal Navy, Service years : 1755–1779, Rank : Captain (Post-captain), Battles/wars : 
Seven Years' War
Battle of the Plains of Abraham
, "
Roald Amundsen,https://en.wikipedia.org/wiki/Roald_Amundsen,https://en.wikipedia.org/wiki/File:Amundsen_in_fur_skins.jpg,"Born : Roald Engelbregt Gravning Amundsen(1872-07-16)16 July 1872[1]Borge, Østfold, Norway, Disappeared : 18 June 1928 (aged 55)Barents Sea, Occupation : Explorer, Known for : 
First to reach the South Pole and the North Pole
First to navigate the Northwest Passage
, Awards : 
Hubbard Medal (1907)
Order of Franz Joseph (1907)
Charles P. Daly Medal (1912)
Vega Medal (1913)
Congressional Gold Medal (1928)
, "
Confucius,https://en.wikipedia.org/wiki/Confucius,https://en.wikipedia.org/wiki/File:Confucius_Tang_Dynasty.jpg,"Born : Kǒng Qiūc. 551 BCEZou, State of Lu(modern-day Nanxin [zh], Qufu, Shandong, China), Died : c. 479 BCE (aged 71–72)Si River, State of Lu, Resting place : Cemetery of Confucius, State of Lu, Spouse : Lady Qiguan, Children : Kong Li (son)  Kong Jiao (daughter), Family : Shuliang He (father)  Yan Zhengzai (mother), Era : Hundred Schools of Thought(Ancient philosophy), Region : Chinese philosophy, School : Confucianism, Notable students : Yan Hui, ZengziDisciples of Confucius, Main interests : Ethics, education, music,[1] poetry,[2] political philosophy, Social philosophy, Notable ideas : Confucianism, Silver Rule, "
Laozi,https://en.wikipedia.org/wiki/Laozi,https://en.wikipedia.org/wiki/File:Zhang_Lu-Laozi_Riding_an_Ox.jpg,"Born : Trad. 6th century BCSometimes 4th century BCQuren Village, Chu (present-day Luyi, Henan), Died : Trad. 5th century BCor immortal, Notable work : Tao Te Ching, Treatise on the response of the Dao (allegedly), Era : Ancient philosophy, Region : Chinese philosophy, School : Taoism, Notable ideas : TaoWu wei, "
Herodotus,https://en.wikipedia.org/wiki/Herodotus,https://en.wikipedia.org/wiki/File:Marble_bust_of_Herodotos_MET_DT11742_(cropped).jpg,"Born : c. 484 BCHalicarnassus, Caria, Asia Minor, Persian Empire(modern-day Bodrum, Turkey), Died : c. 425 BC (aged approximately 60)Thurii, Calabria, or Pella, Macedon, Occupation : Historian, Notable work : Histories, Parents : Lyxes (father)Dryotus (mother), Relatives : Theodorus (brother)Panyassis (uncle or cousin), "
Socrates,https://en.wikipedia.org/wiki/Socrates,https://en.wikipedia.org/wiki/File:Socrate_du_Louvre.jpg,"Born : c. 470 BCDeme Alopece, Athens, Died : 399 BC (aged approximately 71)Athens, Cause of death : Execution by Forced suicide by poisoning, Spouse(s) : Xanthippe, Myrto, Children : Lamprocles, Menexenus, Sophroniscus, Family : Sophroniscus (father), Phaenarete (mother), Patrocles (half-brother), Era : Ancient Greek philosophy, Region : Western philosophy, School : Classical Greek philosophy, Notable students : PlatoXenophonAntisthenesAristippusAlcibiadesCritias, Main interests : Epistemology, ethics, teleology, Notable ideas : 
Social gadfly
Socratic dialogue
Socratic intellectualism
Socratic irony
Socratic method
Socratic paradox
Socratic questioning
""The unexamined life is not worth living""
, "
Plato,https://en.wikipedia.org/wiki/Plato,https://en.wikipedia.org/wiki/File:Plato_Silanion_Musei_Capitolini_MC1377.jpg,"Born : 428/427 or 424/423 BCAthens, Greece, Died : 348/347 BC (aged c. 80)Athens, Greece, Notable work : 
Euthyphro
Apology
Crito
Phaedo
Meno
Protagoras
Gorgias
Symposium
Phaedrus
Parmenides
Theaetetus
Republic
Timaeus
, Era : Ancient Greek philosophy, School : Platonic Academy, Notable students : Aristotle, Main interests : Epistemology, Metaphysics
Political philosophy, Notable ideas : Allegory of the Cave 
Cardinal virtues 
Form of the Good 
Theory of forms 
Divisions of the soul 
Platonic love 
Platonic solids 

Atlantis , "
Aristotle,https://en.wikipedia.org/wiki/Aristotle,https://en.wikipedia.org/wiki/File:Aristotle_Altemps_Inv8575.jpg,"Born : 384 BCStagira, Chalcidian League, Died : 322 BC (aged 61–62)Chalcis, Euboea, Macedonian Empire, Education : Platonic Academy, Notable work : 
Organon
Physics
Metaphysics
Nicomachean Ethics
Politics
Rhetoric
Poetics
, Era : Ancient Greek philosophy, Region : Western philosophy, School : 
Peripatetic school
, Notable students : Alexander the Great, Theophrastus, Aristoxenus, Main interests : 
Logic
Natural Philosophy
Metaphysics
Ethics
Politics
Rhetoric
Poetics
, Notable ideas : Aristotelianism

Theoretical philosophy
 Aristotelian logic, syllogism
 Four causes
 Genus and differentia
 Hylomorphism, substance, essence, accident
 Hypokeimenon
 Potentiality and actuality
 Theory of universals
 Unmoved mover



Natural philosophy
 Aristotelian biology
 Aristotelian physics
 Common sense
 Eternity of the world
 Five wits
 Horror vacui
 Theory of elements, aether
 Rational animal



Practical philosophy
 Aristotelian ethics
 Catharsis
 Deliberative, epideictic and forensic rhetoric
 Enthymeme and Paradeigma
 Family as a model for the state
 Golden mean
 Kyklos
 Magnanimity
 Mimesis
 Natural slavery
 Intellectual virtues: sophia, episteme, nous, phronesis, techne
 Three appeals: ethos, logos, pathos
 Views on women

, "
Cicero,https://en.wikipedia.org/wiki/Cicero,https://en.wikipedia.org/wiki/File:Bust_of_Cicero_(1st-cent._BC)_-_Palazzo_Nuovo_-_Musei_Capitolini_-_Rome_2016.jpg,"Born : 3 January 106 BCArpinum, Italy, Roman Republic, Died : 7 December 43 BC (aged 63)Formia, Italy, Roman Republic, Manner of death : Assassination (by order of Mark Antony), Spouses : Terentia (79–51 BC)Publilia (46–45 BC), Children : Tullia and Cicero Minor, Relatives : Quintus Tullius Cicero (brother), Occupation : Statesman, lawyer, writer, orator, Notable work : 
Orations
In VerremIn Catilinam I–IV


Philosophical works
AcademicaDe OratoreDe re publicaDe Natura DeorumDe OfficiisTusculanae QuaestionesDe DivinationeDe Fato
, Era : Hellenistic philosophy, Region : Western philosophy, School : Academic skepticism[1]Classical republicanismEclecticism, Main interests : Ethicsepistemologytheologypoliticslawrhetoric, Notable ideas : 
Exceptio probat regulam in casibus non exceptis
Humanitas
Inter arma enim silent leges
Non nobis solum
O tempora, o mores!
Salus populi suprema lex esto
Summum bonum
, "
Thomas Aquinas,https://en.wikipedia.org/wiki/Thomas_Aquinas,https://en.wikipedia.org/wiki/File:St-thomas-aquinas.jpg,
